epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,3649.83,1.80834,1.91031,1.75656,0.19339,0.25199,0.15532,0.05113,2.50443,3.00496,2.54077,0.000234068,0.000234068,0.000234068
77,3697.11,1.79959,1.90161,1.75549,0.34209,0.19807,0.19829,0.06172,2.48058,2.93914,2.53332,0.000225068,0.000225068,0.000225068
78,3745.43,1.76686,1.86213,1.72424,0.22109,0.24016,0.17735,0.05742,2.51925,3.04001,2.5461,0.000216069,0.000216069,0.000216069
79,3792.88,1.77484,1.8792,1.74936,0.20528,0.22343,0.17337,0.05551,2.55043,2.99804,2.59337,0.00020707,0.00020707,0.00020707
80,3841.4,1.752,1.8496,1.7355,0.2023,0.21608,0.16961,0.05586,2.51399,3.06404,2.53614,0.000198071,0.000198071,0.000198071
81,3888.81,1.7362,1.80466,1.70442,0.27079,0.1852,0.16459,0.05564,2.53503,3.10301,2.57818,0.000189072,0.000189072,0.000189072
82,3937.58,1.73889,1.76436,1.71241,0.27624,0.21397,0.17554,0.05925,2.54013,3.09297,2.60584,0.000180073,0.000180073,0.000180073
83,3984.87,1.73554,1.81079,1.70803,0.25553,0.23504,0.18396,0.05545,2.56171,3.07565,2.62451,0.000171074,0.000171074,0.000171074
84,4033.44,1.73083,1.77908,1.71088,0.20879,0.24953,0.18616,0.0555,2.55181,3.0246,2.6318,0.000162075,0.000162075,0.000162075
85,4080.75,1.71572,1.75073,1.7073,0.28493,0.23803,0.19403,0.05608,2.57128,3.09233,2.62616,0.000153076,0.000153076,0.000153076
86,4129.23,1.7234,1.74279,1.68397,0.23266,0.24139,0.15875,0.05097,2.52288,3.15306,2.57871,0.000144077,0.000144077,0.000144077
87,4176.69,1.6849,1.71604,1.67066,0.29639,0.23966,0.1979,0.06184,2.5575,3.10709,2.63277,0.000135077,0.000135077,0.000135077
88,4224.12,1.66319,1.6956,1.6623,0.25143,0.20996,0.18387,0.05846,2.55072,3.0717,2.63833,0.000126078,0.000126078,0.000126078
89,4272.78,1.67176,1.68298,1.67161,0.23882,0.24327,0.17704,0.056,2.54106,3.16066,2.63135,0.000117079,0.000117079,0.000117079
90,4320,1.65113,1.66904,1.65609,0.28475,0.2332,0.18093,0.05756,2.56993,3.10525,2.66904,0.00010808,0.00010808,0.00010808
91,4369.04,1.57857,1.54906,1.74841,0.30207,0.22632,0.1961,0.06289,2.53473,3.17827,2.63631,9.9081e-05,9.9081e-05,9.9081e-05
92,4416.41,1.55881,1.48408,1.73508,0.28965,0.19229,0.17003,0.06157,2.58551,3.16686,2.71623,9.00819e-05,9.00819e-05,9.00819e-05
93,4465.04,1.52628,1.43749,1.70511,0.32842,0.20209,0.18386,0.06257,2.59589,3.06144,2.76043,8.10828e-05,8.10828e-05,8.10828e-05
94,4512.61,1.51971,1.44416,1.69269,0.299,0.20742,0.18755,0.06145,2.606,3.13246,2.73472,7.20837e-05,7.20837e-05,7.20837e-05
95,4561.13,1.51099,1.41368,1.70639,0.31852,0.20816,0.18566,0.06147,2.59208,3.13753,2.72284,6.30846e-05,6.30846e-05,6.30846e-05
96,4608.52,1.48747,1.37803,1.67281,0.34957,0.20507,0.19111,0.06223,2.63134,3.09932,2.77345,5.40855e-05,5.40855e-05,5.40855e-05
97,4657.01,1.488,1.37675,1.68646,0.3464,0.18932,0.19083,0.06252,2.60618,3.1917,2.74337,4.50864e-05,4.50864e-05,4.50864e-05
98,4704.31,1.47306,1.35103,1.65873,0.33308,0.21305,0.19083,0.06049,2.62033,3.17844,2.76324,3.60873e-05,3.60873e-05,3.60873e-05
99,4752.94,1.45922,1.36935,1.67138,0.35299,0.21768,0.19994,0.06433,2.61356,3.13605,2.77545,2.70882e-05,2.70882e-05,2.70882e-05
100,4800.29,1.45233,1.3767,1.6741,0.35935,0.19491,0.19309,0.063,2.61482,3.17174,2.76481,1.80891e-05,1.80891e-05,1.80891e-05
